NO;Tolueno;Tolueno;T4-CSF;T4-CCF;T4-F;T7;T10-R;T13;T15-R;T15-M;T20-naclo2;T21EGA;T23
704.4574575;39.5456242;39.5456242;79.71195886;78.06609066;73.77068181;94.12294145;8.857131999;56.0356794;76.57635868;81.06586637;83.36219049;35.51763401;77.2906975
707.7947948;46.56115253;46.56115253;79.81143109;78.40080119;74.03637339;94.5056699;11.78070528;55.59335339;77.05546198;81.69984768;84.01241392;35.6079682;78.07947324
711.1321321;48.40494958;48.40494958;79.91090333;78.73261939;74.27664551;94.88839835;14.36411808;55.15056065;77.53456529;82.33382899;84.80631715;35.49223485;78.84271836
714.4694695;49.91258611;49.91258611;79.99815159;79.05150717;74.51693735;95.27112681;16.84481604;54.70657773;78.0136686;83.03223993;85.64456457;35.33890135;79.47432077
717.8068068;37.93832224;37.93832224;80.06213522;79.37041197;74.7278065;95.53067875;22.3078949;54.26259481;78.4927719;83.73120509;86.50118516;35.09095159;79.99774704
721.1441441;25.96405837;25.96405837;80.12611885;79.6763183;74.92863802;95.74470453;25.825637;53.78370001;78.97187521;84.43015486;87.34615916;34.83197401;80.12577418
724.4814815;16.1739983;16.1739983;80.17748799;79.96175715;75.12944982;95.95873031;25.07093461;53.26172545;79.45097851;85.12912003;88.18557251;34.57293778;80.17324756
727.8188188;8.586999148;8.586999148;80.21858566;80.24717899;75.29910354;96.17275609;24.54635527;52.73975089;79.93008182;85.8280852;88.9887392;34.31396021;79.99970028
731.1561562;1;1;80.25968334;80.48970929;75.46698244;96.38678187;24.16834128;52.03948306;80.42601477;86.52703497;89.77487803;34.1184512;79.83001791
734.4934935;4.406168393;4.406168393;80.28985872;80.70272082;75.63058204;96.60084826;25.03531758;51.23088573;80.92197698;87.17879793;90.52316863;33.92828012;79.66856407
737.8308308;8.136298294;8.136298294;80.31654322;80.91571533;75.77010315;96.81487404;25.34732187;50.4222884;81.41796847;87.81167078;91.23800569;33.84093752;79.48939257
741.1681682;16.9179979;16.9179979;80.34323955;80.98717287;75.90962426;97.02889982;23.1645501;49.46365868;81.91393069;88.44454362;91.9210164;33.76825955;79.28028527
744.5055055;32.00258419;32.00258419;80.36502499;81.0224763;76.03946271;97.16222935;20.64291152;48.46738668;82.40992217;89.07743187;92.55665917;33.825393;78.96498276
747.8428428;47.08717049;47.08717049;80.38663292;81.05735439;76.15149372;97.14119228;17.80090756;47.47111468;82.87737644;89.68491775;93.17310876;33.90704572;78.50551465
751.1801802;56.92817341;56.92817341;80.40912837;80.6039733;76.26354446;97.12019582;15.36730319;47.31723172;83.33681102;90.23811956;93.72425285;34.12689803;76.98394214
754.5175175;66.30341263;66.30341263;80.4358247;80.1505752;76.36114022;97.09915876;13.10437981;47.18330173;83.79624559;90.79130597;94.26120065;34.37854329;74.29541373
757.8548549;73.57325923;73.57325923;80.46252104;79.61476274;76.44712072;97.07812169;11.45316617;47.11525158;84.2556509;91.34450778;94.73512358;34.75501397;72.46520188
761.1921922;77.57683361;77.57683361;80.49824631;78.7597052;76.5330815;97.05708462;10.05511022;47.40845533;84.71508548;91.89769419;95.18949457;35.16662114;71.39974511
764.5295295;81.58040799;81.58040799;80.54860961;77.90464766;76.59886841;97.03604755;9.015149097;47.70165908;85.17452006;92.450896;95.60141764;35.6808808;69.62621873
767.8668669;83.59155331;83.59155331;80.59898474;77.70762901;76.65812791;97.01505109;8.263898887;48.04195653;85.62119337;93.00408242;95.98684437;36.23385512;67.34239849
771.2042042;85.29298562;85.29298562;80.6952856;78.45922624;76.71738741;96.80748264;7.631146437;48.47849501;86.05332003;93.44043337;96.34755572;36.87534521;64.57058733
774.5415415;86.4114684;86.4114684;80.82410487;79.21082346;76.75089219;95.98236655;7.21245057;48.91503348;86.48541742;93.82062202;96.67806793;37.55836557;61.51648478
777.8788789;86.39323877;86.39323877;80.95292414;79.96689529;76.78329264;96.01538419;6.83015857;49.38923758;86.91754407;94.20082606;96.99662603;38.3161756;59.71066763
781.2162162;86.37500914;86.37500914;81.42544686;80.72579139;76.81117715;94.35199371;6.526203467;49.90019716;87.34964146;94.58101471;97.28179467;39.12220298;58.4766367
784.5535536;86.30458543;86.30458543;81.9877502;81.48470451;76.81541701;92.46511482;6.22502358;50.41113341;87.78176811;94.96121875;97.55999328;39.99862063;60.58077288
787.8908909;86.22211805;86.22211805;82.54988786;81.88105567;76.81963715;90.57823593;5.92555915;50.95317763;88.2138655;95.3414228;97.80901775;40.93305161;63.86887614
791.2282282;86.81751696;86.81751696;82.50284978;82.19691502;76.8136619;88.69225051;5.445719956;51.50959732;88.61180603;95.72161144;98.04858656;41.93593714;68.24102656
794.5655656;89.10490172;89.10490172;82.45581169;82.49661135;76.78970174;86.81154467;4.953181408;52.06601702;88.95741369;96.10181549;98.26807813;43.01032746;72.90042767
797.9029029;91.39228647;91.39228647;82.306556;82.09920534;76.76574158;87.78505737;4.474196398;52.64610025;89.30299208;96.46657797;98.47306591;44.15299636;75.59352749
801.2402402;92.27457997;92.27457997;81.76713862;81.70181634;76.72785889;87.66959716;4.109530377;53.23001072;89.64859975;96.77927332;98.66476709;45.38951896;77.92002806
804.5775776;92.71209114;92.71209114;81.22772123;81.22966914;76.67918919;87.55413696;3.851052641;53.81422457;89.99420741;97.09195328;98.83563508;46.69965806;80.3719653
807.9149149;93.08566443;93.08566443;80.69046937;80.50303102;76.63051949;87.43867675;3.682328106;54.40618624;90.33981507;97.40464862;98.9985593;48.13010589;82.83858647
811.2522523;93.24886304;93.24886304;80.15629422;79.77637588;76.5634902;87.32321654;3.537673151;54.99817124;90.64991951;97.71734397;99.13343688;49.63669253;86.08090637
814.5895896;93.41206165;93.41206165;79.62210724;79.14686896;76.4909195;87.20775634;3.424385564;55.58523218;90.9234085;98.03003932;99.2614085;51.23455191;89.36616981
817.9269269;93.50594718;93.50594718;79.11775246;78.64539015;76.4183488;87.09229613;3.314681299;56.15404373;91.19689749;98.34273467;99.35745127;52.87892753;90.85290266
821.2642643;93.57105301;93.57105301;78.6317159;78.14392834;76.32254759;86.97683592;3.209956825;56.72287861;91.47038648;98.5826869;99.4264596;54.50400448;92.31605811
824.6016016;93.55218957;93.55218957;78.14569118;77.81037475;76.22601673;86.86137572;3.099224704;57.26816665;91.74387547;98.81889805;99.43928495;56.12127985;93.35519466
827.9389389;93.15113767;93.15113767;77.73953063;77.57301661;76.12538405;86.74591551;2.985586227;57.77662919;92.01736446;99.0551246;99.06186605;57.56375268;94.34882491
831.2762763;92.75008577;92.75008577;77.35012628;77.3356755;76.00489302;86.6304553;2.844975359;58.28509173;92.29085346;99.29135115;98.33422926;58.95308085;94.9526664
834.6136136;92.08688472;92.08688472;76.96573932;77.16325866;75.884402;92.22002078;2.683428103;58.72391722;92.48004789;99.5275623;98.10036203;60.0393202;95.46356978
837.950951;91.28478092;91.28478092;76.72420615;77.00319376;75.75395223;92.15479775;2.477732606;59.10960477;92.61787534;99.76378885;98.04984219;61.05728098;95.47494289
841.2882883;90.62564475;90.62564475;76.48268481;76.84282262;75.60668104;92.50239673;2.180703135;59.49531566;92.75570279;100;98.02703588;61.71613401;95.41683059
844.6256256;90.94770158;90.94770158;76.2702975;76.67545885;75.45940985;92.84999571;1.828346591;59.68383046;92.89353023;99.99855284;98.00656144;62.32055189;95.09605625
847.962963;91.2697584;91.2697584;76.14953683;76.50809508;75.29346354;93.16721684;1.371719248;59.80371169;93.03135768;99.95207422;97.98731701;62.57202117;94.82440376
851.3003003;91.85514987;91.85514987;76.02877616;76.33166301;75.11357498;93.14349938;1.007928678;59.92359291;93.16921439;99.9055802;97.96406226;62.79187348;94.69138963
854.6376376;92.61558594;92.61558594;75.90711614;76.12778784;74.93370613;93.11978191;1;59.41270334;93.30704184;99.85908618;97.93276123;62.72834625;94.69481126
857.974975;93.32479853;93.32479853;75.78436745;75.92391267;74.71617152;92.45890117;1.26619021;58.84636549;93.44486929;99.81259217;97.88475265;62.65138621;94.99638569
861.3123123;93.39511282;93.39511282;75.66160692;75.70144152;74.48786963;83.79881708;1.782518336;58.23704123;93.58269673;99.76609815;97.82203529;62.37170216;95.35838583
864.6496496;93.46542712;93.46542712;75.32208069;75.45652931;74.25956773;79.88766857;2.400774455;57.22590368;93.72052418;99.71961953;97.70491589;62.08057969;95.82496039
867.986987;93.42352646;93.42352646;74.86741469;75.21161709;73.85261965;79.69796944;3.028327366;56.21474279;93.60839486;99.67312552;97.5680908;61.64087507;96.24361829
871.3243243;93.28897442;93.28897442;74.41273687;74.94919778;73.4418064;79.50827031;3.568441525;55.87500542;93.45318167;99.49250704;97.17103028;61.18480471;96.595686
874.6616617;93.15399769;93.15399769;73.74841709;74.6777612;72.93483696;79.31857118;3.813535852;57.31456024;93.29799774;99.17542401;96.50412493;60.6134116;96.76621339
877.998999;92.99947986;92.99947986;73.05009973;74.40634164;71.99062907;79.12887205;3.661093993;58.75411506;93.14281381;98.85835638;94.22646586;60.02207458;96.73277284
881.3363363;92.84496203;92.84496203;72.36761556;74.11807852;71.04640146;79.26151117;3.197455955;60.03124564;92.81707976;98.54127335;92.16594086;59.33541739;96.36178227
884.6736737;91.88810191;91.88810191;71.90277278;73.82717827;70.35727563;79.96365381;2.626350128;61.10854307;92.19391472;98.2242673;90.53167615;58.62588336;95.68324673
888.011011;90.11201492;90.11201492;71.43792999;73.5352572;70.08146754;80.66579645;2.488663336;62.18584049;91.57077895;97.90767692;89.37019405;57.83798148;94.76070881
891.3483483;88.33592793;88.33592793;71.03628982;73.2297592;69.80565945;81.36789847;2.420165513;63.00857993;90.94764318;97.59108655;88.61691938;57.02409386;93.65827903
894.6856857;86.35810308;86.35810308;70.80112306;72.92424418;69.55233249;82.07004111;2.494639086;63.67911666;90.32450742;97.27451157;88.32961105;56.14169303;92.60049668
898.023023;84.37367744;84.37367744;70.56594446;72.61524135;69.31486066;82.60051639;2.676796651;64.34963005;89.70137165;96.95792119;88.20703351;55.22568084;91.56918694
901.3603604;84.65796055;84.65796055;70.36949685;72.29694905;69.07738883;82.71983475;2.922964912;64.81762656;89.07820661;96.64133081;88.54190198;54.24086215;90.90511368
904.6976977;87.80821454;87.80821454;70.21457292;71.97867376;68.84881085;82.76008134;3.381555816;65.23596232;88.85661145;96.32475583;88.9321206;53.21773942;90.41364572
